Algorithm,Group Size,Operation,Time (ms)
AES-GCM,5,add,0.21740000011050142
AES-GCM,5,add,0.23270000019692816
AES-GCM,5,add,0.19500000053085387
AES-GCM,5,add,0.22420000095735304
AES-GCM,5,add,0.1902999974845443
AES-GCM,5,remove,0.18080000154441223
AES-GCM,5,remove,0.19750000137719326
AES-GCM,5,remove,0.17740000112098642
AES-GCM,5,remove,0.19869999960064888
AES-GCM,5,remove,0.1291999979002867
AES-GCM,50,add,3.9108000019041356
AES-GCM,50,add,3.743400000530528
AES-GCM,50,add,3.8377000018954277
AES-GCM,50,add,3.5748000009334646
AES-GCM,50,add,3.724400001374306
AES-GCM,50,remove,3.5601999989012256
AES-GCM,50,remove,3.661600003397325
AES-GCM,50,remove,3.4279999999853317
AES-GCM,50,remove,3.6274999984016176
AES-GCM,50,remove,3.4349000015936326
AES-GCM,100,add,14.048499997443287
AES-GCM,100,add,15.107699997315649
AES-GCM,100,add,14.702899999974761
AES-GCM,100,add,16.06040000115172
AES-GCM,100,add,15.195500000118045
AES-GCM,100,remove,14.343900002131704
AES-GCM,100,remove,14.23840000279597
AES-GCM,100,remove,13.9725000008184
AES-GCM,100,remove,14.631800000643125
AES-GCM,100,remove,15.244700000039302
AES-GCM,1000,add,1668.3900999996695
AES-GCM,1000,add,1687.2915999992983
AES-GCM,1000,add,1697.324299999309
AES-GCM,1000,add,1670.9186999978556
AES-GCM,1000,add,1672.4165000014182
AES-GCM,1000,remove,1683.7775000021793
AES-GCM,1000,remove,1728.3540999997058
AES-GCM,1000,remove,1691.4073999978427
AES-GCM,1000,remove,1731.9220999997924
AES-GCM,1000,remove,1735.977100001037
AES-GCM,10000,add,197776.19670000058
AES-GCM,10000,add,196588.56350000133
AES-GCM,10000,add,197174.9693999991
AES-GCM,10000,add,200720.58540000216
AES-GCM,10000,add,197511.01810000182
AES-GCM,10000,remove,199334.29509999952
AES-GCM,10000,remove,198745.9775043728
AES-GCM,10000,remove,196932.5800000011
AES-GCM,10000,remove,195581.0155000007
AES-GCM,10000,remove,197291.0392390132
DoubleRatchet,5,add,1.430999998774496
DoubleRatchet,5,add,1.6050999984145164
DoubleRatchet,5,add,1.4783999995415797
DoubleRatchet,5,add,1.438199999029166
DoubleRatchet,5,add,1.4633999999205116
DoubleRatchet,5,remove,0.1114999995479593
DoubleRatchet,5,remove,0.11830000039481092
DoubleRatchet,5,remove,0.09800000043469481
DoubleRatchet,5,remove,0.11760000052163377
DoubleRatchet,5,remove,0.10199999996984843
DoubleRatchet,50,add,11.829699998997967
DoubleRatchet,50,add,11.534999999639695
DoubleRatchet,50,add,11.930600001505809
DoubleRatchet,50,add,11.9232999986707
DoubleRatchet,50,add,12.226800001371885
DoubleRatchet,50,remove,0.357599999915692
DoubleRatchet,50,remove,0.33070000063162297
DoubleRatchet,50,remove,0.3634000004240079
DoubleRatchet,50,remove,0.3562000001693377
DoubleRatchet,50,remove,0.3538000000844477
DoubleRatchet,100,add,26.87069999956293
DoubleRatchet,100,add,23.791800000253716
DoubleRatchet,100,add,24.254300000393414
DoubleRatchet,100,add,24.1292999999132
DoubleRatchet,100,add,24.289799999678507
DoubleRatchet,100,remove,0.8467999996355502
DoubleRatchet,100,remove,0.8426000003964873
DoubleRatchet,100,remove,0.9379999992233934
DoubleRatchet,100,remove,0.8572999995521968
DoubleRatchet,100,remove,0.8601000008638948
DoubleRatchet,1000,add,811.9977000005747
DoubleRatchet,1000,add,971.4697999988857
DoubleRatchet,1000,add,873.4815999996499
DoubleRatchet,1000,add,825.9827999991103
DoubleRatchet,1000,add,684.8382999996829
DoubleRatchet,1000,remove,121.39279999973951
DoubleRatchet,1000,remove,61.743600001136656
DoubleRatchet,1000,remove,80.42089999980817
DoubleRatchet,1000,remove,82.66550000007555
DoubleRatchet,1000,remove,87.23410000129661
DoubleRatchet,10000,add,9599.167100001068
DoubleRatchet,10000,add,9750.298300001305
DoubleRatchet,10000,add,8233.24440000033
DoubleRatchet,10000,add,9077.876600000309
DoubleRatchet,10000,add,7673.628299999109
DoubleRatchet,10000,remove,71.23970000066038
DoubleRatchet,10000,remove,177.09579999973357
DoubleRatchet,10000,remove,192.69660000099975
DoubleRatchet,10000,remove,121.5950999994675
DoubleRatchet,10000,remove,75.10130000082427
RatchetTree,5,add,0.42629999984455935
RatchetTree,5,add,0.4008000000794709
RatchetTree,5,add,0.3948999999465741
RatchetTree,5,add,0.41079999982684967
RatchetTree,5,add,0.36920000002282904
RatchetTree,5,remove,0.36969999996472325
RatchetTree,5,remove,0.29529999983424204
RatchetTree,5,remove,0.30740000011064694
RatchetTree,5,remove,0.3237999999328167
RatchetTree,5,remove,0.3491000001209613
RatchetTree,50,add,1.7782999998416926
RatchetTree,50,add,1.8199000001004606
RatchetTree,50,add,1.9690000001446606
RatchetTree,50,add,1.7119999999977153
RatchetTree,50,add,1.9690999999966152
RatchetTree,50,remove,1.6590000000178406
RatchetTree,50,remove,1.7072999999072636
RatchetTree,50,remove,1.7320000001745939
RatchetTree,50,remove,1.7302000001109263
RatchetTree,50,remove,1.833500000202548
RatchetTree,100,add,3.966600000012477
RatchetTree,100,add,3.451199999972232
RatchetTree,100,add,4.013500000155545
RatchetTree,100,add,3.827900000032969
RatchetTree,100,add,3.1652000000121916
RatchetTree,100,remove,3.813499999978376
RatchetTree,100,remove,3.277799999978015
RatchetTree,100,remove,6.999299999961295
RatchetTree,100,remove,3.723399999898902
RatchetTree,100,remove,5.577099999934944
RatchetTree,1000,add,31.421399999999267
RatchetTree,1000,add,37.671900000077585
RatchetTree,1000,add,32.69210000007661
RatchetTree,1000,add,33.687200000031225
RatchetTree,1000,add,31.263599999874714
