Algorithm,Group Size,Message Size,Encryption Time (ms),Decryption Time (ms),CPU Usage (%),Memory Usage (%),Message Overhead (bytes),Total Time (ms)
AES-GCM,5,128,0.096166041,0.43658202,47.25,0.049214363,128,4.148332984
AES-GCM,5,128,0.097540091,0.433415931,48.5,0.049214363,128,3.986666969
AES-GCM,5,128,0.228292076,0.43245795,48.8,0.009619713,128,3.894791997
AES-GCM,5,128,0.395500043,0.950542046,49.7,0.006629944,128,6.472082983
AES-GCM,5,128,0.39183395,0.915916986,49.85,0.00605011,128,6.774500012
AES-GCM,5,128,0.315125042,0.625999994,50,0.00604248,128,4.673374991
AES-GCM,5,128,0.440584088,0.929998932,48.35,0.006034851,128,7.734625018
AES-GCM,5,128,0.365082931,0.630417082,49.85,0.006027222,128,5.523542
AES-GCM,5,128,0.334292999,0.593249977,48.8,0.006011963,128,5.224333028
AES-GCM,5,128,0.358999998,0.774833024,49.6,0.006004333,128,6.113375013
AES-GCM,5,128,0.379625009,0.818873988,49.5,0.005996704,128,6.209624989
AES-GCM,5,1024,0.582375971,0.823084032,49.7,0.008552551,128,6.869749981
AES-GCM,5,1024,0.355541066,0.64033299,49.3,0.008544922,128,4.38191701
AES-GCM,5,1024,0.461709977,0.852375058,49.75,0.008537292,128,6.524208002
AES-GCM,5,1024,0.666918,1.112373895,49.95,0.008529663,128,8.168041008
AES-GCM,5,1024,0.743417942,1.171250071,49.3,0.008522034,128,8.925832983
AES-GCM,5,1024,0.468917016,0.789707934,49.6,0.008506775,128,6.515208981
AES-GCM,5,1024,0.554541999,0.825917989,49.6,0.008499146,128,6.948709022
AES-GCM,5,1024,0.60329301,0.920374994,49.7,0.008491516,128,7.416957989
AES-GCM,5,1024,0.477541005,0.757916947,49.6,0.008483887,128,6.013000035
AES-GCM,5,1024,0.424498983,0.695834053,49.25,0.008476257,128,5.869874964
AES-GCM,5,10240,0.852291996,1.03420805,49.85,0.04296875,128,13.83649994
AES-GCM,5,10240,1.183832937,1.401207992,49.85,0.042961121,128,14.12349998
AES-GCM,5,10240,1.17362407,1.415458973,49.8,0.042953491,128,14.00550001
AES-GCM,5,10240,1.275333983,1.373375067,49.9,0.042938232,128,13.66229198
AES-GCM,5,10240,1.166124013,1.362792973,49.85,0.042938232,128,14.08216695
AES-GCM,5,10240,1.429376018,1.550582994,49.85,0.042938232,128,12.88383297
